Feature_1,Feature_2,Feature_3
2318.8192074742024,-2.923860421704393,-82268.91954704608
2286.822133895111,-3.0524206575774504,-82280.7040355753
2277.718744330973,-3.1034797357428623,-82289.83166448592
2330.1003508240697,-3.1015667335074126,-82264.94656666134
2302.42242579671,-3.0221797663016474,-82276.06257946328
2301.223714365087,-2.938895666890262,-82282.35723475351
2322.2388490274807,-2.9737388240150167,-82268.78130702316
2310.0172947819674,-3.000341588309723,-82275.16307246483
2314.469380999576,-3.0391059119478534,-82269.70164471
2284.0630145335394,-2.9990954109877896,-82285.52349938806
2310.5547265423065,-2.9900593549525447,-82274.98506476407
2304.919457224417,-3.0052332956135204,-82275.56453664097
2320.200092744249,-2.9666085790241974,-82269.74330608678
2300.9525366762896,-2.9558129394518726,-82277.38438132626
2307.1146330404317,-2.95729390417151,-82276.32769731546
2318.9002577890105,-3.0654650202338813,-82266.37252196626
2262.4017497914137,-2.9501699925661655,-82288.47198864404
2262.610814154844,-2.92884136405114,-82288.63674045219
2230.7000932476044,-2.9328533590226455,-82299.56338335971
2178.8241043725866,-2.95439848198982,-82313.28891330663
2148.9790302735846,-3.0078213955827864,-82324.68708725125
2097.7711383860496,-2.9713299553255372,-82344.78680784407
2102.0501405201667,-2.9699460248781726,-82339.91810785876
2099.06415602509,-3.314544859612299,-82355.597935116
2187.6256383250325,-3.48961443122641,-82312.77193349489
2114.3315356523135,-3.735011667447335,-82322.53773894969
1968.476570538036,-3.773346867655211,-82385.42179978683
1963.5105344269955,-3.916216043973267,-82380.19897809897
2001.2474095056914,-3.8968042035395536,-82373.39681149172
1955.605856294481,-3.9834673336043815,-82387.88550211312
1889.0980131578835,-4.096745886495809,-82412.20438395342
1741.892461956665,-4.382997425908353,-82468.10069568678
1664.0474219814548,-5.389417253357984,-82507.10900023655
1737.078300500942,-5.528908974184797,-82472.89554141328
1781.3590416509132,-5.517223389355502,-82451.37554661238
1738.7174863069658,-5.510112164144471,-82464.46290001515
1712.524978731368,-5.494943015685732,-82468.63471878902
1689.488888555817,-5.552703795873848,-82484.78986448125
1722.6895971837864,-5.547260055530924,-82466.44749650857
1686.769158132283,-5.576567409843199,-82476.27768772746
1650.641169676505,-5.545952271747582,-82495.31883061051
1673.285264170624,-5.569297364092482,-82492.50479397956
1751.8552121016405,-5.600882755660499,-82454.24639421166
1738.8201247897366,-5.395682888113637,-82463.70163303961
1684.558453984926,-5.3147358691570465,-82477.1809821238
1597.2589326613397,-5.209130083107962,-82510.92669730789
1595.1292788287906,-5.199341321791767,-82517.65500965632
1588.0396487218222,-5.113721083215302,-82521.52383659914
1598.9325837881465,-5.1729430147753135,-82510.24307198905
1574.6417286922265,-5.122833808413805,-82519.25897266198
1559.9890437422616,-5.039660324480067,-82519.21541758627
1518.8260885338773,-4.800452235438224,-82520.29482598441
1369.5117141884948,-3.8593808496372364,-82592.22508667759
1354.741619903995,-3.8264651712565136,-82597.14302283544
1407.0164217766428,-3.883020456298306,-82577.85001799282
1463.4376668573195,-4.173923763449259,-82562.1588285419
1580.6364220697092,-4.325530527564778,-82512.40756988218
1612.0699308430326,-4.321617138359583,-82505.99171785954
1627.741047085141,-4.318611628650928,-82501.99222568957
1615.6713674949456,-4.302430094445946,-82509.44014363676
1661.2992860737586,-4.386629214625002,-82489.52221814258
1661.656437694618,-4.460193490874309,-82487.27439749592
1586.6015737436637,-4.614474938068468,-82511.50995658267
1542.6264756032717,-4.7305792230592765,-82536.48405825763
1649.3568630526074,-4.62332347635789,-82489.62447788556
1652.6909094136122,-4.508342762724594,-82493.22629327727
1643.2909665948264,-4.498953771405155,-82498.21050889818
1680.8415016974218,-4.478439439950104,-82485.36933635814
1705.078575743329,-4.419090130377459,-82476.61665983846
1712.7953989405878,-4.399886561159334,-82468.93771062008
1681.0346589897213,-4.346589046893098,-82484.1441131413
1673.1178611839646,-4.1763549593747005,-82487.37855093785
1671.8062852952723,-3.970974276187909,-82487.27629119487
1661.622351113624,-3.908782391690292,-82490.31378430122
1687.9421152582663,-3.862280294812699,-82480.65591968625
1696.5364785462261,-3.643868006289986,-82479.49697593244
1717.4762439906444,-3.4813967170857714,-82470.64961446555
1719.0839943941965,-3.4877005690546405,-82470.86928354307
1726.7602924340506,-3.5011572040402847,-82469.55505647586
1748.7832536745013,-3.472835596469383,-82464.15043968936
1773.8149237973582,-3.403891793664894,-82453.10449374835
1759.7038367454095,-3.2826570088480014,-82455.53789689155
1765.310321839349,-2.9306452222903507,-82457.67967039734
1791.7259071505628,-2.7095443342342476,-82446.90262970638
1786.0925315316172,-2.749947257006638,-82444.34234873395
1718.916212667748,-2.7011719968098302,-82472.62474246426
1712.5344472260886,-2.6746955304508275,-82471.83885740246
1699.2187137306673,-2.6878577146716376,-82474.18515039422
1667.3235211547692,-2.6949132952334725,-82489.89338313563
1686.0419777377438,-2.708565543595496,-82477.28134816785
1673.2807192931587,-2.7379839846264873,-82485.91282795511
1691.397737091483,-2.688150375154636,-82479.78292447301
1707.42941361255,-2.703056712063969,-82475.01837792962
1703.0061116188922,-2.7043768873071627,-82476.34586088944
1715.8957628518883,-2.6520022564566137,-82470.02090641612
1704.858906665812,-2.613175935249227,-82475.83266847559
1671.2446141884484,-2.701724293995227,-82483.03440556006
1607.784490132506,-2.6871302928441434,-82505.94626908487
1613.13532586899,-2.6541830970319262,-82507.93465297618
1629.4253029260349,-2.638263109071191,-82498.99639395998
1674.0997375564907,-2.642018099306921,-85331.89041369666
1619.0152610904593,-2.675935125138277,-82503.2818346705
1595.5273343468432,-2.7464573970344346,-82510.40024900142
1580.1959476953084,-2.9098099452366535,-82525.20897474438
1637.1697741278772,-2.9139396443877716,-82494.88138615442
1615.8789168992205,-2.9209470698948605,-82506.12427678562
1626.7733669246995,-2.9760897276004354,-82503.52044073745
1510.7637513565428,-3.9715292076098874,-76735.17056877774
1425.5890412621095,-3.9995249441131233,-74509.19571414935
1426.3443739725021,-4.038519306907924,-76766.25994080659
1440.5677745872817,-4.025678676630426,-76756.74324284017
1424.1394197837576,-3.996121654321569,-76770.56035895422
1437.7076005638742,-4.009894264358451,-76760.1415716726
1438.0715350700427,-4.053249567335966,-76760.92659596217
1403.6392881949569,-3.978590279907731,-74518.46592745105
1479.340055386839,-4.106998264363965,-76746.4725083851
1512.585489740779,-4.094298672291061,-76731.29709366478
1488.972785452191,-4.054777900452522,-76743.63023842443
