Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Close
14435478191782.662,1270208030767.6165,-36861474959407.66,-12732929937512.41,18876493285024.55,27799247166923.15,4910460278034.385,1132933018938.509,-10652084004170.994,-30236824118447.176,8912817549200.018,-1450285401304.7158,824.5133333333334
8140791454242.205,716325353844.9021,-20787781772669.094,-7180650690638.596,10645272363929.227,15677199195047.518,2769221201960.982,638909889904.1033,-6007171279286.949,-17051854583003.57,5026323565299.056,-817879096239.5631,823.2883333333333
10605654527385.283,933213804918.1956,-27081892722698.27,-9354803116950.482,13868440261068.416,20423931197767.29,3607684120785.842,832358749232.0845,-7826018796137.889,-22214803601523.12,6548190704601.952,-1065515442782.7605,823.2099999999999
7542360247965.2,663668125534.066,-19259668168807.77,-6652799660761.63,9862736253528.352,14524765400057.047,2565655225247.9116,591943553261.1544,-5565583055436.155,-15798369575536.969,4656837636380.254,-757756478191.2874,832.9566666666666
9391700262936.148,826395436621.8412,-23982019539228.88,-8284024930136.1875,12281018055272.21,18086147937433.305,3194737999755.1953,737084454494.4266,-6930229580381.433,-19672031923093.293,5798665429799.368,-943553643525.6976,845.3383333333334
9830386816645.14,864996385301.1539,-25102220274109.734,-8670971938148.912,12854664696027.008,18930952363396.297,3343964292621.232,771513691528.071,-7253940789721.488,-20590913009521.992,6069521257425.878,-987627047154.0665,837.3966666666668
11237206068222.213,988785368916.8837,-28694580135309.867,-9911868206759.041,14694286076193.535,21640146717211.957,3822516506486.738,881924436765.0066,-8292046801838.006,-23537663074905.94,6938125883160.448,-1128965598860.0828,855.9266666666666
9356703578689.457,823316007737.6593,-23892654331220.426,-8253155825414.911,12235254800482.682,18018752764022.742,3182833313285.564,734337821783.9988,-6904405165306.723,-19598727218701.71,5777057603964.647,-940037651008.7439,875.4916666666667
11602080426127.36,1020891408713.7256,-29626299025100.07,-10233708554673.861,15171412411713.795,22342806708728.465,3946634399445.2744,910560732172.5134,-8561291326425.371,-24301935697776.176,7163408362255.141,-1165623262752.6323,781.3866666666668
10562876465080.92,929449688304.2174,-26972656268809.2,-9317070247151.643,13812501706433.127,20341550164517.89,3593132386310.757,829001245820.7434,-7794452015697.458,-22125199095632.953,6521778126811.331,-1061218172314.6952,773.7366666666668
9493016576635.781,835310430571.7617,-24240735006241.645,-8373391856624.751,12413503753668.336,18281259284404.824,3229202441489.651,745036170558.0425,-7004992293592.578,-19884251378493.023,5861221008784.887,-953732129940.9773,770.495
9177830055637.49,807576535786.9594,-23435894412310.945,-8095378920788.977,12001351476737.582,17674285262599.13,3121986578670.6055,720299336978.5481,-6772412521296.26,-19224055022295.29,5666616695475.425,-922066927669.8942,765.2683333333333
12865350607953.555,1132049210032.5227,-32852101986263.53,-11347986265242.998,16823322481422.111,24775560480308.57,4376356116290.6895,1009705434649.606,-9493471167282.705,-26948005486620.6,7943382367320.092,-1292539749734.218,759.3116666666666
11026570273930.873,970251078872.4015,-28156714619787.66,-9726075201406.973,14418849031679.338,21234513018348.72,3750865351585.3154,865393209904.9423,-8136616553752.364,-23096461365738.777,6808074210798.181,-1107803693934.3318,765.705
13846981764440.84,1218425019786.6533,-35358729200697.13,-12213841888725.463,18106948471387.926,26665944740918.363,4710273706274.255,1086746233167.2537,-10217826362984.188,-29004148214557.12,8549465206005.857,-1391161339166.7668,750.1066666666667
17661089465305.133,1554036401041.3804,-45098180443388.875,-15578106394620.068,23094450781204.836,34010995708264.15,6007703837215.543,1386087066810.9495,-13032294568346.87,-36993250115419.96,10904388502476.428,-1774352366833.672,739.5033333333333
10746291933458.88,945588797720.1995,-27441014580002.812,-9478853435237.305,14052344217158.201,20694764608074.24,3655524165810.1216,843396261095.9171,-7929796376259.198,-22509385110212.137,6635023520248.093,-1079645021916.6162,735.58
11991990667018.143,1055200459853.3479,-30621947695371.67,-10577632050312.861,15681277069785.35,23093679642221.152,4079268631244.855,941161830419.183,-8849009870213.842,-25118649074539.707,7404148307840.471,-1204796397990.2073,722.635
9253664154676.518,814249347055.4299,-23629539773661.57,-8162269069244.743,12100515699541.918,17820323732524.36,3147782798667.0815,726251037645.6378,-6828371372615.317,-19382898909893.637,5713438579558.744,-929685584848.3965,711.5566666666667
9048357403405.453,796183946430.3492,-23105282207277.637,-7981176564776.564,11832047034832.836,17424952527481.14,3077944411038.082,710138080651.7262,-6676873569896.802,-18952859439437.31,5586677324658.009,-909058987710.365,708.3449999999999
11765990689167.326,1035314216550.3083,-30044849329562.586,-10378286921064.379,15385748984323.775,22658458306171.92,4002391112884.0386,923424824378.1393,-8682242348393.154,-24645265202200.043,7264610569591.246,-1182090797612.336,699.1766666666666
10477737913820.104,921958152582.154,-26755252957224.215,-9241973182097.584,13701170600681.791,20177594394644.297,3564171196300.516,822319475572.1971,-7731627719533.749,-21946866763621.508,6469211765007.927,-1052664234905.5089,656.8183333333333
13092635450215.084,1152048494119.6082,-33432480751931.613,-11548464629215.59,17120530592902.014,25213255805633.195,4453670666932.816,1027543229682.8978,-9661186691721.945,-27424080209301.15,8083713377068.018,-1315374595652.8086,680.3966666666666
8628611636832.285,759249656080.9252,-22033447416375.383,-7610936456973.689,11283168332896.742,16616623491282.316,2935161130086.422,677195346686.0974,-6367138904602.614,-18073652179506.566,5327515911098.304,-866888545842.1879,656.2783333333333
11477114094444.611,1009895374781.077,-29307193298078.168,-10123481011134.996,15008000786353.26,22102151689552.914,3904125085688.09,900753036093.0669,-8469077360238.184,-24040178924312.52,7086251002223.089,-1153068355606.9817,667.9449999999999
13114224106407.54,1153948130412.5571,-33487608290279.066,-11567507107185.46,17148760947227.654,25254830466177.77,4461014407899.526,1029237580201.7576,-9677117217684.002,-27469300364070.883,8097042757569.96,-1317543481539.5264,664.7133333333334
