Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
10448143165160.164,919354031592.0414,-26679681804148.027,-9215868876247.363,13662471081250.1,20120602064715.37,3554104068527.081,819996824052.1566,-7709789505850.029,708.3449999999999
13586195783346.771,1195477883242.3337,-34692803696369.406,-11983813495207.38,17765932635566.68,26163734004980.543,4621563172851.53,1066279141862.2034,-10025389914028.709,699.1766666666666
12098649610084.77,1064585575149.7534,-30894304994179.863,-10671711409054.686,15820749069033.232,23299079110693.94,4115550399244.0264,949532741162.9597,-8927714690293.562,656.8183333333333
15118073203166.63,1330271016398.9175,-38604503523609.4,-13335018324808.982,19769085892962.4,29113760053058.434,5142655916871.203,1186504720522.7969,-11155777474313.783,680.3966666666666
9963462502515.713,876705986640.9058,-25442033594039.574,-8788352424437.792,13028680548619.588,19187224091429.004,3389232137140.643,781957831406.3605,-7352138721080.115,656.2783333333333
13252629823895.29,1166126732966.4255,-33841031879675.652,-11689588973829.71,17329746587998.332,25521366455266.63,4508095338343.979,1040100015723.4098,-9779248187442.559,667.9449999999999
15143001636094.943,1332464527449.1104,-38668159321818.73,-13357006684372.87,19801683498300.855,29161766335972.19,5151135738519.182,1188461187979.1274,-11174172461218.834,664.7133333333334
7582061244037.378,667161475519.9355,-19361046050268.516,-6687818220691.312,9914650992708.832,14601219977908.959,2579160164455.9517,595059420471.7987,-5594878900224.108,662.8216666666667
7795566417188.495,685948244697.3164,-19906238542432.92,-6876142170385.78,10193840145432.139,15012379358162.281,2651787379963.8726,611815837427.8066,-5752426479194.018,656.5633333333333
6505122655839.008,572399394331.2517,-16611047441664.354,-5737895862008.031,8506396745523.457,12527296153537.205,2212822165655.677,510538534680.38074,-4800195098743.806,651.2666666666667
7780726731355.231,684642464605.112,-19868345070478.953,-6863052719204.155,10174435075835.422,14983801809565.51,2646739433740.6426,610651206624.5183,-5741476189682.495,640.27
